member_casual,number_of_rides,average_duration,month
casual,40005,1374.9935008123985,Jan
member,150288,621.7265383796445,Jan
casual,43014,1391.6156832659133,Feb
member,147422,642.8880764065065,Feb
casual,62194,1284.8811300125415,Mar
member,196465,626.5715420049372,Mar
casual,147269,1660.5457971467179,Apr
member,279285,701.6767423957606,Apr
casual,234153,1711.3945753417638,May
member,370603,782.4890921012512,May
casual,301198,1764.5803092982026,Jun
member,418347,792.0881756054184,Jun
casual,331252,1940.6092491517024,Jul
member,436185,821.6705640955099,Jul
casual,311006,2115.435026976972,Aug
member,460430,826.5547140716287,Aug
casual,261534,1511.6252762547126,Sep
member,404617,788.9219063954307,Sep
casual,177007,1372.695667402984,Oct
member,359947,729.2163985253385,Oct
casual,99376,1295.752696828208,Nov
member,233804,676.9765273476929,Nov
casual,44891,1337.463233164777,Dec
member,136901,637.220465884106,Dec
