hour,number_of_rides,average_duration
00:00,71810,1338.9403147193984
01:00,44911,1384.9598761995949
02:00,26536,1461.4198070545674
03:00,15827,1573.37543438428
04:00,14821,1352.2004588084474
05:00,45017,737.4443654619366
06:00,134086,766.3656757603328
07:00,244241,740.852657825672
08:00,309819,780.3769426665247
09:00,230385,974.4887557783709
10:00,231096,1135.0938873887908
11:00,282154,1223.4789405785493
12:00,325181,1192.2125493186873
13:00,329017,1239.4247470495443
14:00,338100,1255.4458858325936
15:00,400353,1218.7019255507012
16:00,506444,1081.8034787656677
17:00,582293,1076.0660612440818
18:00,476097,1103.5874664196583
19:00,343295,1099.6028634264992
20:00,241776,1104.2971841704716
21:00,193904,1077.553361457216
22:00,155062,1144.0536946511716
23:00,104968,1170.789859766786
