hour,number_of_rides,average_duration_sec
00:00,35098,718.8746367314377
01:00,21048,750.3653078677308
02:00,12221,820.2337779232469
03:00,7848,830.6146788990826
04:00,8784,706.4546903460838
05:00,33594,613.4495445615289
06:00,103648,635.0803778172275
07:00,191344,671.0691215820721
08:00,239317,678.5154209688405
09:00,160932,700.623437228146
10:00,145150,753.6903410265243
11:00,172316,772.6141333364284
12:00,195519,746.3964576332734
13:00,193647,752.29369419614045
14:00,196384,768.758681970018
15:00,241228,769.4425771469316
16:00,324394,776.4893031313773
17:00,382793,799.2145023550588
18:00,303990,789.9664133688608
19:00,215949,777.5303705967613
20:00,149772,752.0236158961621
21:00,116678,737.988189718713
22:00,86926,738.6833743644019
23:00,55714,745.3239939691998
