member_casual,day_of_week,number_of_rides,average_duration_sec,week_day
casual,1,332102,1997.8353909341106,Sun
casual,2,233786,1664.7041182962196,Mon
casual,3,251698,1494.9784980413033,Tue
casual,4,251547,1460.6805606904477,Wed
casual,5,270811,1504.618102662004,Thu
casual,6,310988,1654.6723346238443,Fri
casual,7,401967,1942.8866100948585,Sat
member,1,397940,835.1454113685481,Sun
member,2,486724,711.2378699221736,Mon
member,3,582163,720.0869498748631,Tue
member,4,577674,715.3850614706565,Wed
member,5,575679,720.3737204240557,Thu
member,6,518038,751.0751720916227,Fri
member,7,456076,833.2992768749067,Sat
