station,member_casual,latitude,longitude,number_of_rides
Streeter Dr & Grand Ave,casual,41.892277654572105,-87.61206966705109,46156
DuSable Lake Shore Dr & Monroe St,casual,41.88098505017817,-87.61676695074928,30309
Kingsbury St & Kinzie St,member,41.88918177463715,-87.63850975716683,25438
Clinton St & Washington Blvd,member,41.883387303403346,-87.64124372785325,24996
Clark St & Elm St,member,41.90291690673182,-87.63139746613444,24457
Michigan Ave & Oak St,casual,41.90096583310227,-87.62376370810604,22519
Wells St & Concord Ln,member,41.91208705540955,-87.63473468616812,20974
University Ave & 57th St,member,41.791479500983556,-87.59988016849505,20253
DuSable Lake Shore Dr & North Blvd,casual,41.911724571052346,-87.62681749807803,20250
Millennium Park,casual,41.88107125714321,-87.62409548210196,20243
Wells St & Elm St,member,41.903175883053635,-87.63444877860302,19950
Clinton St & Madison St,member,41.88261690270944,-87.64119486888114,19672
Ellis Ave & 60th St,member,41.785103651274774,-87.60108066033901,18819
Broadway & Barry Ave,member,41.93760574255793,-87.64410313691229,18687
Loomis St & Lexington St,member,41.87223104700378,-87.66136592325162,18520
State St & Chicago Ave,member,41.896622949917386,-87.62862094175094,18156
Shedd Aquarium,casual,41.867232171100476,-87.61541745355305,17765
Canal St & Adams St,member,41.8793136136674,-87.63996072814348,17312
Streeter Dr & Grand Ave,member,41.892280218313154,-87.61207693206829,17014
Wells St & Huron St,member,41.89473791240047,-87.634404366447,16980
Clinton St & Jackson Blvd,member,41.878352253620434,-87.64109422371283,16777
Morgan St & Polk St,member,41.87186300987459,-87.65102841513838,16585
Wilton Ave & Belmont Ave,member,41.94017411523293,-87.65295971547677,16486
State St & 33rd St,member,41.83473843160828,-87.62580741040192,16471
Dearborn St & Erie St,member,41.89403927028434,-87.62932292104016,16459
Larrabee St & Kingsbury St,member,41.897706304556735,-87.64301618436762,16446
Sheffield Ave & Fullerton Ave,member,41.925585586445195,-87.6537028254687,16375
Theater on the Lake,casual,41.92623791787845,-87.63088415990748,16323
Wells St & Hubbard St,member,41.88995428918177,-87.63431030623883,15668
Desplaines St & Kinzie St,member,41.88867283707376,-87.6444430270449,15590
DuSable Lake Shore Dr & North Blvd,member,41.91169679736355,-87.62681934098232,15555
St. Clair St & Erie St,member,41.89434222100317,-87.62281225133002,15451
Clark St & Armitage Ave,member,41.91828636698603,-87.6363040602343,15322
Wabash Ave & Grand Ave,member,41.89144707333946,-87.62677168259458,15251
Dusable Harbor,casual,41.88697103347725,-87.6128249672318,15147
Broadway & Waveland Ave,member,41.949059715632,-87.64862535503745,15087
Halsted St & Polk St,member,41.8718293205669,-87.6466394515661,15082
Clark St & Wrightwood Ave,member,41.92953818294357,-87.6431404641009,15026
Halsted St & Clybourn Ave,member,41.909634412981916,-87.648131641221,14873
Ellis Ave & 55th St,member,41.79431089638322,-87.60144938295826,14806
Michigan Ave & Oak St,member,41.90097166982022,-87.623765637466,14629
Ashland Ave & Division St,member,41.903384926719625,-87.6678107118671,14477
Orleans St & Merchandise Mart Plaza,member,41.8880914467893,-87.6366477801164,14433
Lincoln Ave & Fullerton Ave,member,41.92415553535269,-87.64637123363775,14432
Dearborn Pkwy & Delaware Pl,member,41.89895225568617,-87.62992616451345,14428
Kingsbury St & Erie St,member,41.89381990443881,-87.64175304625087,14398
Indiana Ave & Roosevelt Rd,member,41.867908599957495,-87.62304379132743,14351
Green St & Madison St,member,41.881871966623635,-87.6492156891873,14175
Clark St & Lincoln Ave,member,41.91570661415202,-87.63461309906204,14169
Pine Grove Ave & Waveland Ave,member,41.9494103322283,-87.64645884951594,13903
LaSalle St & Illinois St,member,41.890796469293534,-87.6317069589349,13886
Clark St & Drummond Pl,member,41.93122501089688,-87.64431850648762,13703
Dearborn St & Monroe St,member,41.88113246240255,-87.62959945153503,13648
Theater on the Lake,member,41.92626580596679,-87.63087718486261,13612
Wabash Ave & Roosevelt Rd,member,41.86721117311142,-87.62597222807992,13489
MLK Jr Dr & 29th St,member,41.84205612299227,-87.61697150274018,13448
Michigan Ave & Washington St,member,41.88397408187552,-87.62459990752099,13223
Sheridan Rd & Irving Park Rd,member,41.95421713455181,-87.65442028327408,13164
Clinton St & Lake St,member,41.88560221880463,-87.64187043483173,13134
Michigan Ave & Lake St,member,41.885981955293346,-87.6244196026701,13022
Broadway & Cornelia Ave,member,41.94552399198387,-87.64646989911597,13020
Canal St & Madison St,member,41.88226919009067,-87.63977745803074,13015
Damen Ave & Pierce Ave,member,41.90938620608749,-87.67767975465902,13007
Southport Ave & Waveland Ave,member,41.94812828314228,-87.66400940238425,12981
Daley Center Plaza,member,41.88417643804176,-87.62961284613611,12930
Peoria St & Jackson Blvd,member,41.87765936294513,-87.64954708598931,12923
Halsted St & Roscoe St,member,41.9436484944573,-87.64893946275336,12788
Columbus Dr & Randolph St,member,41.88464009241082,-87.61955372524501,12755
McClurg Ct & Ohio St,member,41.892600977588415,-87.61731531128277,12668
Clark St & Schiller St,member,41.9079809479971,-87.6315482975404,12437
Franklin St & Monroe St,member,41.880213071026326,-87.63537481577643,12345
DuSable Lake Shore Dr & Diversey Pkwy,member,41.93256794250447,-87.63643568989676,12302
Larrabee St & Webster Ave,member,41.92180710270136,-87.64409713518528,12279
Southport Ave & Roscoe St,member,41.94371242477321,-87.66399378044784,12214
Clark St & Newport St,member,41.944508214601825,-87.6547167210826,12193
Canal St & Monroe St,member,41.88168577976851,-87.63950629474881,12182
Wells St & Concord Ln,casual,41.9120858054155,-87.63473702493924,12178
Halsted St & Wrightwood Ave,member,41.9291126322715,-87.64909341668228,12177
Ravenswood Ave & Lawrence Ave,member,41.96899372789434,-87.67423035791998,12096
Sheffield Ave & Webster Ave,member,41.92160796796049,-87.65380940206367,11998
Federal St & Polk St,member,41.87209723373287,-87.62957416938524,11972
LaSalle St & Jackson Blvd,member,41.87810591901326,-87.63186509803155,11918
Montrose Harbor,casual,41.963961775912374,-87.638199876766,11914
Adler Planetarium,casual,41.8661052473746,-87.60728781733829,11842
Lakeview Ave & Fullerton Pkwy,member,41.92586137137426,-87.63896905339543,11810
Indiana Ave & Roosevelt Rd,casual,41.86791526142343,-87.62304034435093,11655
DuSable Lake Shore Dr & Belmont Ave,member,41.9407562256031,-87.6391901995411,11615
Franklin St & Lake St,member,41.88582796089366,-87.63549150730351,11604
Sheffield Ave & Waveland Ave,member,41.94930104821572,-87.65448506930743,11450
Wilton Ave & Diversey Pkwy,member,41.93239835016373,-87.65269575441992,11421
