station,member_casual,latitude,longitude,number_of_rides
Streeter Dr & Grand Ave,casual,41.892277654572105,-87.61206966705109,46156
DuSable Lake Shore Dr & Monroe St,casual,41.88098505017817,-87.61676695074928,30309
Michigan Ave & Oak St,casual,41.90096583310227,-87.62376370810604,22519
DuSable Lake Shore Dr & North Blvd,casual,41.911724571052346,-87.62681749807803,20250
Millennium Park,casual,41.88107125714321,-87.62409548210196,20243
Shedd Aquarium,casual,41.867232171100476,-87.61541745355305,17765
Theater on the Lake,casual,41.92623791787845,-87.63088415990748,16323
Dusable Harbor,casual,41.88697103347725,-87.6128249672318,15147
Wells St & Concord Ln,casual,41.9120858054155,-87.63473702493924,12178
Montrose Harbor,casual,41.963961775912374,-87.638199876766,11914
Adler Planetarium,casual,41.8661052473746,-87.60728781733829,11842
Indiana Ave & Roosevelt Rd,casual,41.86791526142343,-87.62304034435093,11655
Clark St & Armitage Ave,casual,41.91829297154982,-87.63631076643206,11040
Michigan Ave & 8th St,casual,41.872706968321644,-87.62399283394353,10838
Clark St & Lincoln Ave,casual,41.915706450250234,-87.63460852240074,10830
Clark St & Elm St,casual,41.902887843574405,-87.63142506824799,10799
Wilton Ave & Belmont Ave,casual,41.94014579242387,-87.65297120269435,10574
Wells St & Elm St,casual,41.90315905149631,-87.63444607355272,9891
Wabash Ave & Grand Ave,casual,41.89144540779151,-87.6267583510629,9794
Clark St & Newport St,casual,41.944523918371644,-87.65471552574903,9746
Broadway & Barry Ave,casual,41.93760927423465,-87.64409862366365,9597
Michigan Ave & Washington St,casual,41.8839704974753,-87.62458039504295,9312
DuSable Lake Shore Dr & Diversey Pkwy,casual,41.93257593979363,-87.63642667373095,9255
New St & Illinois St,casual,41.89080966975599,-87.61854335927451,9180
DuSable Lake Shore Dr & Belmont Ave,casual,41.940761721863545,-87.63918731815411,9058
LaSalle St & Illinois St,casual,41.89078214470238,-87.63169389212038,9055
McClurg Ct & Ohio St,casual,41.892601752000004,-87.61729865133937,8840
Kingsbury St & Kinzie St,casual,41.88918366404328,-87.63849754585938,8733
Clark St & Wrightwood Ave,casual,41.92956037143409,-87.64314069116601,8542
Michigan Ave & Lake St,casual,41.88599784158515,-87.62442901583972,8485
Sheffield Ave & Fullerton Ave,casual,41.925599122229464,-87.65370721692663,8437
Sheffield Ave & Waveland Ave,casual,41.94930307902089,-87.65447940798926,8375
Larrabee St & Webster Ave,casual,41.921802959064074,-87.64409413390328,8334
Lakeview Ave & Fullerton Pkwy,casual,41.92586977574103,-87.63896805304452,8333
Field Museum,casual,41.865322477474436,-87.61793136058236,8311
Halsted St & Roscoe St,casual,41.94367275262576,-87.64893667062601,8051
Wells St & Huron St,casual,41.894740000168454,-87.63439674739081,8014
Wells St & Evergreen Ave,casual,41.906709556738164,-87.63496467451834,7879
DuSable Lake Shore Dr & Wellington Ave,casual,41.93670575837233,-87.63683828114827,7864
Lincoln Ave & Fullerton Ave,casual,41.924169635240894,-87.6463714377559,7825
Broadway & Cornelia Ave,casual,41.94549014243163,-87.64645039277771,7715
Wells St & Hubbard St,casual,41.889954053817476,-87.63429056450293,7484
Dearborn St & Erie St,casual,41.894052817065784,-87.62931664868827,7433
State St & Chicago Ave,casual,41.89663891916394,-87.62862334221222,7332
Ashland Ave & Division St,casual,41.903364233011516,-87.66781508580225,7292
Columbus Dr & Randolph St,casual,41.88464794028273,-87.61953847440434,7286
Southport Ave & Roscoe St,casual,41.94370957811134,-87.6639939208481,7275
Pine Grove Ave & Waveland Ave,casual,41.94939544820753,-87.64645173394062,7141
Clark St & Drummond Pl,casual,41.931249324800284,-87.64429028044319,7085
Ellis Ave & 60th St,casual,41.78510357504265,-87.60108121675718,7034
Halsted St & Wrightwood Ave,casual,41.929117228669526,-87.64910500638258,7005
Lincoln Park Conservatory,casual,41.923980351212336,-87.6358462206183,7003
Damen Ave & Pierce Ave,casual,41.90940429682281,-87.67769196437186,6981
Desplaines St & Kinzie St,casual,41.888656598457125,-87.64442997152997,6974
Broadway & Waveland Ave,casual,41.94905292939902,-87.64862621625645,6972
Wabash Ave & Roosevelt Rd,casual,41.86720135718263,-87.62597097861511,6932
Michigan Ave & Jackson Blvd,casual,41.87809162742803,-87.62411015667946,6773
Southport Ave & Waveland Ave,casual,41.9480940803079,-87.66401118389707,6723
Sheffield Ave & Wrightwood Ave,casual,41.92868893891213,-87.65382962122834,6692
Dearborn Pkwy & Delaware Pl,casual,41.89895487804547,-87.629910089089,6641
Fairbanks Ct & Grand Ave,casual,41.89187662229195,-87.62060799562835,6549
Sheffield Ave & Webster Ave,casual,41.9216307564705,-87.65380393990675,6542
Halsted St & Clybourn Ave,casual,41.90962668565844,-87.64812195454085,6523
University Ave & 57th St,casual,41.79148343801166,-87.5998836942283,6518
State St & Randolph St,casual,41.88461688750236,-87.62789536949576,6366
St. Clair St & Erie St,casual,41.89432965068275,-87.62280022497792,6342
Clinton St & Washington Blvd,casual,41.883381265180155,-87.64125858045038,6328
Wilton Ave & Diversey Pkwy,casual,41.9324256962349,-87.65269890703591,6292
Clinton St & Madison St,casual,41.88257640941376,-87.6411781761749,6209
Stockton Dr & Wrightwood Ave,casual,41.931317086855614,-87.63872923948026,6157
Sheffield Ave & Wellington Ave,casual,41.93627049886586,-87.65265814248205,6128
Clark St & Schiller St,casual,41.9079593996613,-87.6315617869735,5964
Clark St & Wellington Ave,casual,41.93649704972638,-87.64756486919086,5957
Sheridan Rd & Irving Park Rd,casual,41.954225845055284,-87.65442568231842,5879
Clark St & Grace St,casual,41.950827097418255,-87.65918642214407,5872
Wabash Ave & Wacker Pl,casual,41.88686228567397,-87.62607325139754,5846
Broadway & Belmont Ave,casual,41.94009876624308,-87.64547386884163,5784
Orleans St & Merchandise Mart Plaza,casual,41.88809194109763,-87.63667558585573,5767
Halsted St & Dickens Ave,casual,41.919957879128695,-87.64885124011653,5750
Racine Ave & Belmont Ave,casual,41.93969898236737,-87.65887016200035,5749
Daley Center Plaza,casual,41.88415578411048,-87.629589407545,5666
Cityfront Plaza Dr & Pioneer Ct,casual,41.89052524300639,-87.6220726401827,5638
Mies van der Rohe Way & Chestnut St,casual,41.89857188985988,-87.62207006441646,5638
Green St & Madison St,casual,41.881864973686646,-87.649199766573,5623
Canal St & Adams St,casual,41.87932935719758,-87.63996783337431,5613
Milwaukee Ave & Grand Ave,casual,41.89159072454643,-87.64832208599677,5578
Kedzie Ave & Milwaukee Ave,casual,41.9295721375378,-87.70789455379409,5556
